date,home_team,away_team,home_score,away_score,competition,stadium,city,country
1895-03-02,Scotland,Ireland,6,0,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1895-03-09,England,Scotland,3,6,1895 Home Nations Championship,Athletic Ground,Richmond,England
1895-03-16,Wales,Ireland,5,3,1895 Home Nations Championship,National Stadium,Cardiff,Wales
1896-01-04,England,Wales,25,0,1896 Home Nations Championship,Rectory Field,Blackheath,England
1896-01-25,Wales,Scotland,6,0,1896 Home Nations Championship,National Stadium,Cardiff,Wales
1896-02-01,England,Ireland,4,10,1896 Home Nations Championship,Meanwood Road,Leeds,England
1896-02-15,Ireland,Scotland,0,0,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1896-03-14,Scotland,England,11,0,1896 Home Nations Championship,Hampden Park,Glasgow,Scotland
1896-03-17,Ireland,Wales,8,4,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1897-01-09,Wales,England,11,0,1897 Home Nations Championship,Rodney Parade,Newport,Wales
1897-02-06,Ireland,England,13,9,1897 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1897-02-20,Scotland,Ireland,8,3,1897 Home Nations Championship,Powderhall Stadium,Edinburgh,Scotland
1897-03-13,England,Scotland,12,3,1897 Home Nations Championship,Fallowfield,Manchester,England
1898-02-05,England,Ireland,6,9,1898 Home Nations Championship,Athletic Ground,Richmond,England
1898-02-19,Ireland,Scotland,0,8,1898 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1898-03-12,Scotland,England,3,3,1898 Home Nations Championship,Powderhall,Edinburgh,Scotland
1898-03-19,Ireland,Wales,3,11,1898 Home Nations Championship,Thomond Park,Limerick,Ireland
1898-04-02,England,Wales,14,7,1898 Home Nations Championship,Rectory Field,Blackheath,England
1899-01-07,Wales,England,26,3,1899 Home Nations Championship,St Helen's,Swansea,Wales
1899-02-04,Ireland,England,6,0,1899 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1899-02-18,Scotland,Ireland,3,9,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland
1899-03-04,Scotland,Wales,21,10,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland
1899-03-11,England,Scotland,0,5,1899 Home Nations Championship,Rectory Field,Blackheath,England
1899-03-18,Wales,Ireland,0,3,1899 Home Nations Championship,National Stadium,Cardiff,Wales
1/6/1900,England,Wales,3,13,1900 Home Nations Championship,Kingsholm,Gloucester,England
1/27/1900,Wales,Scotland,12,3,1900 Home Nations Championship,St Helen's,Swansea,Wales
2/3/1900,England,Ireland,15,4,1900 Home Nations Championship,Athletic Ground,Richmond,England
2/24/1900,Ireland,Scotland,0,0,1900 Home Nations Championship,Lansdowne Road,Dublin,Ireland
3/10/1900,Scotland,England,0,0,1900 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/17/1900,Ireland,Wales,0,3,1900 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
1/5/1901,Wales,England,13,0,1901 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales
2/9/1901,Scotland,Wales,18,8,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland
2/9/1901,Ireland,England,10,6,1901 Home Nations Championship,Lansdowne Road,Dublin,Ireland
2/23/1901,Scotland,Ireland,9,5,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/9/1901,England,Scotland,3,18,1901 Home Nations Championship,Rectory Field,Blackheath,England
3/16/1901,Wales,Ireland,10,9,1901 Home Nations Championship,St Helen's,Swansea,Wales
1/11/1902,England,Wales,8,9,1902 Home Nations Championship,Rectory Field,Blackheath,England
2/1/1902,Wales,Scotland,14,5,1902 Home Nations Championship,National Stadium,Cardiff,Wales
2/8/1902,England,Ireland,6,3,1902 Home Nations Championship,Welford Road,Leicester,England
2/22/1902,Ireland,Scotland,5,0,1902 Home Nations Championship,Balmoral Showgrounds,Belfast,Ireland
3/6/1902,Ireland,Wales,0,15,1902 Home Nations Championship,Lansdowne Road,Dublin,Ireland
3/15/1902,Scotland,England,3,6,1902 Home Nations Championship,Inverleith,Edinburgh,Scotland
1/10/1903,Wales,England,21,5,1903 Home Nations Championship,St Helen's,Swansea,Wales
2/7/1903,Scotland,Wales,6,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland
2/14/1903,Ireland,England,6,0,1903 Home Nations Championship,Lansdowne Road,Dublin,Ireland
2/28/1903,Scotland,Ireland,3,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/14/1903,Wales,Ireland,18,0,1903 Home Nations Championship,National Stadium,Cardiff,Wales
3/21/1903,England,Scotland,6,10,1903 Home Nations Championship,Athletic Ground,Richmond,England
8/15/1903,Australia,New Zealand,3,22,1903 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
1/9/1904,England,Wales,14,14,1904 Home Nations Championship,Welford Road,Leicester,England
2/6/1904,Wales,Scotland,21,3,1904 Home Nations Championship,St Helen's,Swansea,Wales
2/13/1904,England,Ireland,19,0,1904 Home Nations Championship,Rectory Field,Blackheath,England
2/27/1904,Ireland,Scotland,3,19,1904 Home Nations Championship,Lansdowne Road,Dublin,Ireland
3/12/1904,Ireland,Wales,14,12,1904 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
3/19/1904,Scotland,England,6,3,1904 Home Nations Championship,Inverleith,Edinburgh,Scotland
1/14/1905,Wales,England,25,0,1905 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales
2/4/1905,Scotland,Wales,3,6,1905 Home Nations Championship,Inverleith,Edinburgh,Scotland
2/11/1905,Ireland,England,17,3,1905 Home Nations Championship,Mardyke,Cork,Ireland
2/25/1905,Scotland,Ireland,5,11,1905 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/11/1905,Wales,Ireland,10,3,1905 Home Nations Championship,St Helen's,Swansea,Wales
3/18/1905,England,Scotland,0,8,1905 Home Nations Championship,Athletic Ground,Richmond,England
9/2/1905,New Zealand,Australia,14,3,1905 Australia tour of New Zealand,Tahuna Park,Dunedin,New Zealand
11/18/1905,Scotland,New Zealand,7,12,1905-06 New Zealand tour,Inverleith,Edinburgh,Scotland
11/25/1905,Ireland,New Zealand,0,15,The Original All Blacks,Lansdowne Road,Dublin,Ireland
12/2/1905,England,New Zealand,0,15,The Original All Blacks tour,Crystal Palace,London,England
12/16/1905,Wales,New Zealand,3,0,The Original All Blacks tour,Cardiff Arms Park,Cardiff,Wales
1/1/1906,France,New Zealand,8,38,The Original All Blacks,Parc des Princes,Paris,France
1/13/1906,England,Wales,3,16,1906 Home Nations Championship,Athletic Ground,Richmond,England
2/3/1906,Wales,Scotland,9,3,1906 Home Nations Championship,National Stadium,Cardiff,Wales
2/10/1906,England,Ireland,6,16,1906 Home Nations Championship,Welford Road,Leicester,England
2/24/1906,Ireland,Scotland,6,13,1906 Home Nations Championship,Lansdowne Road,Dublin,Ireland
3/10/1906,Ireland,Wales,11,6,1906 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
3/17/1906,Scotland,England,3,9,1906 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/22/1906,France,England,8,35,,Parc des Princes,Paris,France
11/17/1906,Scotland,South Africa,6,0,1906–07 South Africa rugby union tour of Europe,Hampden Park,Glasgow,Scotland
11/24/1906,Ireland,South Africa,12,15,1906–07 South Africa rugby union tour of Europe,Balmoral Showgrounds,Belfast,Ireland
12/1/1906,Wales,South Africa,0,11,1906–07 South Africa tour of Europe,St. Helen's,Swansea,Wales
12/8/1906,England,South Africa,3,3,1906-07 South Africa rugby union tour of Europe,Crystal Palace,London,England
1/5/1907,England,France,41,13,,Athletic Ground,Richmond,England
1/12/1907,Wales,England,22,0,1907 Home Nations Championship,St Helen's,Swansea,Wales
2/2/1907,Scotland,Wales,6,3,1907 Home Nations Championship,Inverleith,Edinburgh,Scotland
2/9/1907,Ireland,England,17,9,1907 Home Nations Championship,Lansdowne Road,Dublin,Ireland
2/23/1907,Scotland,Ireland,15,3,1907 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/9/1907,Wales,Ireland,29,0,1907 Home Nations Championship,National Stadium,Cardiff,Wales
3/16/1907,England,Scotland,3,8,1907 Home Nations Championship,Rectory Field,Blackheath,England
7/20/1907,Australia,New Zealand,6,26,1907 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
8/3/1907,Australia,New Zealand,5,14,1907 New Zealand tour of Australia,Brisbane Cricket Ground,Brisbane,Australia
8/10/1907,Australia,New Zealand,5,5,1907 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
1/1/1908,France,England,0,19,,Stade Yves-du-Manoir,Colombes,France
1/18/1908,England,Wales,18,28,1908 Home Nations Championship,Ashton Gate,Bristol,England
2/1/1908,Wales,Scotland,6,5,1908 Home Nations Championship,St Helen's,Swansea,Wales
2/8/1908,England,Ireland,13,3,1908 Home Nations Championship,Athletic Ground,Richmond,England
2/29/1908,Ireland,Scotland,16,11,1908 Home Nations Championship,Lansdowne Road,Dublin,Ireland
3/2/1908,Wales,France,36,4,1908 Home Nations Championship,National Stadium,Cardiff,Wales
3/14/1908,Ireland,Wales,5,11,1908 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
3/21/1908,Scotland,England,16,10,1908 Home Nations Championship,Inverleith,Edinburgh,Scotland
12/12/1908,Wales,Australia,9,6,1908–09 Australia tour of Great Britain,National Stadium,Cardiff,Wales
1/9/1909,England,Australia,3,9,1908–09 Australia tour of Great Britain,Rectory Field,Blackheath,England
1/16/1909,Wales,England,8,0,1909 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/30/1909,England,France,22,0,,Welford Road,Leicester,England
2/6/1909,Scotland,Wales,3,5,1909 Home Nations Championship,Inverleith,Edinburgh,Scotland
2/13/1909,Ireland,England,5,11,1909 Home Nations Championship,Lansdowne Road,Dublin,Ireland
2/23/1909,France,Wales,5,47,1909 Home Nations Championship,Stade Colombes,Paris,France
2/27/1909,Scotland,Ireland,9,3,1909 Home Nations Championship,Inverleith,Edinburgh,Scotland
3/13/1909,Wales,Ireland,18,5,1909 Home Nations Championship,St Helen's,Swansea,Wales
3/20/1909,Ireland,France,19,8,Test Match,Lansdowne Road,Dublin,Ireland
3/20/1909,England,Scotland,8,18,1909 Home Nations Championship,Athletic Ground,Richmond,England
1/1/1910,Wales,France,49,14,1910 Five Nations Championship,St Helen's,Swansea,Wales
1/15/1910,England,Wales,11,6,1910 Five Nations Championship,Twickenham,London,England
1/22/1910,Scotland,France,27,0,1910 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/5/1910,Wales,Scotland,14,0,1910 Five Nations Championship,National Stadium,Cardiff,Wales
2/11/1910,England,Ireland,0,0,1910 Five Nations Championship,Twickenham,London,England
2/26/1910,Ireland,Scotland,0,14,1910 Five Nations Championship,Balmoral Showgrounds,Belfast,Ireland
3/3/1910,France,England,3,11,1910 Five Nations Championship,Parc des Princes,Paris,France
3/12/1910,Ireland,Wales,3,19,1910 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/19/1910,Scotland,England,5,14,1910 Five Nations Championship,Inverleith,Edinburgh,Scotland
3/28/1910,France,Ireland,3,8,1910 Five Nations Championship,Parc des Princes,Paris,France
6/25/1910,Australia,New Zealand,0,6,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
6/27/1910,Australia,New Zealand,11,0,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
7/2/1910,Australia,New Zealand,13,28,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
1/2/1911,France,Scotland,16,15,1911 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/21/1911,Wales,England,15,11,1911 Five Nations Championship,St Helen's,Swansea,Wales
1/28/1911,England,France,37,0,1911 Five Nations Championship,Twickenham,London,England
2/4/1911,Scotland,Wales,10,32,1911 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/11/1911,Ireland,England,3,0,1911 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/25/1911,Scotland,Ireland,10,16,1911 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/28/1911,France,Wales,0,15,1911 Five Nations Championship,Parc des Princes,Paris,France
3/11/1911,Wales,Ireland,16,0,1911 Five Nations Championship,National Stadium,Cardiff,Wales
3/18/1911,England,Scotland,13,8,1911 Five Nations Championship,Twickenham Stadium,London,England
3/25/1911,Ireland,France,25,5,1911 Five Nations Championship,Mardyke,Cork,Ireland
1/1/1912,France,Ireland,6,11,1912 Five Nations Championship,Parc des Princes,Paris,France
1/20/1912,England,Wales,8,0,1912 Five Nations Championship,Twickenham,London,England
1/20/1912,Scotland,France,31,3,1912 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/3/1912,Wales,Scotland,21,6,1912 Five Nations Championship,St Helen's,Swansea,Wales
2/10/1912,England,Ireland,15,0,1912 Five Nations Championship,Twickenham,London,England
2/24/1912,Ireland,Scotland,10,8,1912 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/9/1912,Ireland,Wales,12,5,1912 Five Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
3/16/1912,Scotland,England,8,3,1912 Five Nations Championship,Inverleith,Edinburgh,Scotland
3/25/1912,Wales,France,14,8,1912 Five Nations Championship,Rodney Parade,Newport,Wales
4/8/1912,France,England,8,18,1912 Five Nations Championship,Parc des Princes,Paris,France
11/23/1912,Scotland,South Africa,0,16,1912-13 South Africa rugby union tour of Europe,Inverleith,Edinburgh,Scotland
11/30/1912,Ireland,South Africa,0,38,1912–13 South Africa rugby union tour of Europe,Lansdowne Road,Dublin,Ireland
12/14/1912,Wales,South Africa,0,3,1912–13 South Africa tour of Europe,Cardiff Arms Park,Cardiff,Wales
1/1/1913,France,Scotland,3,21,1913 Five Nations Championship,Parc des Princes,Paris,France
1/4/1913,England,South Africa,3,9,1912-13 South Africa rugby union tour of Europe,Twickenham,London,England
1/11/1913,France,South Africa,5,38,1912–13 South Africa rugby union tour of Europe,Parc Lescure,Bordeaux,France
1/18/1913,Wales,England,0,12,1913 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/25/1913,England,France,20,0,1913 Five Nations Championship,Twickenham,London,England
2/1/1913,Scotland,Wales,0,8,1913 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/9/1913,Ireland,England,4,15,1913 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/22/1913,Scotland,Ireland,29,14,1913 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/27/1913,France,Wales,8,11,1913 Five Nations Championship,Parc des Princes,Paris,France
3/8/1913,Wales,Ireland,16,13,1913 Five Nations Championship,St Helen's,Swansea,Wales
3/15/1913,England,Scotland,3,0,1913 Five Nations Championship,Twickenham Stadium,London,England
3/24/1913,Ireland,France,24,0,1913 Five Nations Championship,Mardyke,Cork,Ireland
9/6/1913,New Zealand,Australia,30,5,1913 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand
9/13/1913,New Zealand,Australia,25,13,1913 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand
9/20/1913,New Zealand,Australia,5,16,1913 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand
1/1/1914,France,Ireland,6,8,1914 Five Nations Championship,Parc des Princes,Paris,France
1/17/1914,England,Wales,10,9,1914 Five Nations Championship,Twickenham,London,England
2/7/1914,Wales,Scotland,24,5,1914 Five Nations Championship,National Stadium,Cardiff,Wales
2/14/1914,England,Ireland,17,12,1914 Five Nations Championship,Twickenham,London,England
2/28/1914,Ireland,Scotland,6,0,1914 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/2/1914,Wales,France,31,0,1914 Five Nations Championship,St Helen's,Swansea,Wales
3/14/1914,Ireland,Wales,3,11,1914 Five Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
3/21/1914,Scotland,England,15,16,1914 Five Nations Championship,Inverleith,Edinburgh,Scotland
4/13/1914,France,England,13,39,1914 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
7/18/1914,Australia,New Zealand,0,5,1914 New Zealand tour of Australia,Sydney Sports Ground,Sydney,Australia
8/1/1914,Australia,New Zealand,0,17,1914 New Zealand tour of Australia,Brisbane Cricket Ground,Brisbane,Australia
8/15/1914,Australia,New Zealand,7,22,1914 New Zealand tour of Australia,Sydney Sports Ground,Sydney,Australia
1/1/1920,France,Scotland,0,5,1920 Five Nations Championship,Parc des Princes,Paris,France
1/17/1920,Wales,England,19,5,1920 Five Nations Championship,St Helen's,Swansea,Wales
1/31/1920,England,France,8,3,1920 Five Nations Championship,Twickenham,London,England
2/7/1920,Scotland,Wales,9,5,1920 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/14/1920,Ireland,England,11,14,1920 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/17/1920,France,Wales,5,6,1920 Five Nations Championship,Stade Colombes,Paris,France
2/28/1920,Scotland,Ireland,19,0,1920 Five Nations Championship,Inverleith,Edinburgh,Scotland
3/13/1920,Wales,Ireland,28,4,1920 Five Nations Championship,National Stadium,Cardiff,Wales
3/20/1920,England,Scotland,13,4,1920 Five Nations Championship,Twickenham Stadium,London,England
4/3/1920,Ireland,France,7,15,1920 Five Nations Championship,Lansdowne Road,Dublin,Ireland
1/15/1921,England,Wales,18,3,1921 Five Nations Championship,Twickenham,London,England
1/22/1921,Scotland,France,0,3,1921 Five Nations Championship,Inverleith,Edinburgh,Scotland
2/5/1921,Wales,Scotland,8,14,1921 Five Nations Championship,St Helen's,Swansea,Wales
2/12/1921,England,Ireland,15,0,1921 Five Nations Championship,Twickenham,London,England
2/26/1921,Ireland,Scotland,9,8,1921 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/26/1921,Wales,France,12,4,1921 Five Nations Championship,National Stadium,Cardiff,Wales
3/12/1921,Ireland,Wales,0,6,1921 Five Nations Championship,Balmoral Showgrounds,Balmoral,Ireland
3/19/1921,Scotland,England,0,18,1921 Five Nations Championship,Inverleith,Edinburgh,Scotland
3/28/1921,France,England,6,10,1921 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
4/9/1921,France,Ireland,20,10,1921 Five Nations Championship,Colombes,Paris,France
8/13/1921,New Zealand,South Africa,13,5,1921 South Africa tour,Carisbrook,Dunedin,New Zealand
8/27/1921,New Zealand,South Africa,5,9,1921 South Africa tour,Eden Park,Auckland,New Zealand
9/17/1921,New Zealand,South Africa,0,0,1921 South Africa tour,Athletic Park,Wellington,New Zealand
1/2/1922,France,Scotland,3,3,1922 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/21/1922,Wales,England,28,6,1922 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
